# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 24.19 s
# Particulas activas: 2/4
# Total colisiones: 25
#
# OBSTACULOS
obstaculo,0,200,150,80,80
obstaculo,1,520,150,80,80
obstaculo,2,200,370,80,80
obstaculo,3,520,370,80,80
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.48,1,613.6,167.2,-180,140,1.5,1
trayectoria,0.48,2,176.8,437.6,160,-130,1.2,1
trayectoria,0.48,3,618.4,447.2,-170,-110,0.8,1
trayectoria,0.49,0,173.5,158.8,150,120,1,1
trayectoria,0.49,1,611.8,168.6,-180,140,1.5,1
trayectoria,0.49,2,178.4,436.3,160,-130,1.2,1
trayectoria,0.49,3,616.7,446.1,-170,-110,0.8,1
trayectoria,0.5,0,175,160,150,120,1,1
trayectoria,0.5,1,610,170,-180,140,1.5,1
trayectoria,0.5,2,180,435,160,-130,1.2,1
trayectoria,0.5,3,615,445,-170,-110,0.8,1
trayectoria,0.51,0,176.5,161.2,150,120,1,1
trayectoria,0.51,1,608.2,171.4,-180,140,1.5,1
trayectoria,0.51,2,181.6,433.7,160,-130,1.2,1
trayectoria,0.51,3,613.3,443.9,-170,-110,0.8,1
trayectoria,0.52,0,178,162.4,150,120,1,1
trayectoria,0.52,1,606.4,172.8,-180,140,1.5,1
trayectoria,0.52,2,183.2,432.4,160,-130,1.2,1
trayectoria,0.52,3,611.6,442.8,-170,-110,0.8,1
trayectoria,0.53,0,179.5,163.6,150,120,1,1
trayectoria,0.53,1,607.124,174.2,126,140,1.5,1
trayectoria,0.53,2,184.8,431.1,160,-130,1.2,1
trayectoria,0.53,3,609.9,441.7,-170,-110,0.8,1
trayectoria,0.54,0,181,164.8,150,120,1,1
trayectoria,0.54,1,608.384,175.6,126,140,1.5,1
trayectoria,0.54,2,186.4,429.8,160,-130,1.2,1
trayectoria,0.54,3,608.2,440.6,-170,-110,0.8,1
trayectoria,0.55,0,182.5,166,150,120,1,1
trayectoria,0.55,1,609.644,177,126,140,1.5,1
trayectoria,0.55,2,188,428.5,160,-130,1.2,1
trayectoria,0.55,3,606.5,439.5,-170,-110,0.8,1
trayectoria,0.56,0,184,167.2,150,120,1,1
trayectoria,0.56,1,610.904,178.4,126,140,1.5,1
trayectoria,0.56,2,189.6,427.2,160,-130,1.2,1
trayectoria,0.56,3,604.8,438.4,-170,-110,0.8,1
trayectoria,0.57,0,185.5,168.4,150,120,1,1
trayectoria,0.57,1,612.164,179.8,126,140,1.5,1
trayectoria,0.57,2,191.2,425.9,160,-130,1.2,1
trayectoria,0.57,3,605.472,437.3,119,-110,0.8,1
trayectoria,0.58,0,187,169.6,150,120,1,1
trayectoria,0.58,1,613.424,181.2,126,140,1.5,1
trayectoria,0.58,2,192.8,424.6,160,-130,1.2,1
trayectoria,0.58,3,606.662,436.2,119,-110,0.8,1
trayectoria,0.59,0,188.5,170.8,150,120,1,1
trayectoria,0.59,1,614.684,182.6,126,140,1.5,1
trayectoria,0.59,2,194.4,423.3,160,-130,1.2,1
trayectoria,0.59,3,607.852,435.1,119,-110,0.8,1
trayectoria,0.6,0,190,172,150,120,1,1
trayectoria,0.6,1,615.944,184,126,140,1.5,1
trayectoria,0.6,2,193.523,422,-112,-130,1.2,1
trayectoria,0.6,3,609.042,434,119,-110,0.8,1
trayectoria,0.61,0,191.5,173.2,150,120,1,1
trayectoria,0.61,1,617.204,185.4,126,140,1.5,1
trayectoria,0.61,2,192.403,420.7,-112,-130,1.2,1
trayectoria,0.61,3,610.232,432.9,119,-110,0.8,1
trayectoria,0.62,0,193,174.4,150,120,1,1
trayectoria,0.62,1,618.464,186.8,126,140,1.5,1
trayectoria,0.62,2,191.283,419.4,-112,-130,1.2,1
