# SIMULACION DE COLISIONES MULTIPLES
# Practica 5 - Informatica II
#
# Box: 800 x 600
# Tiempo: 22.87 s
# Particulas activas: 3/4
# Total colisiones: 11
#
# OBSTACULOS
#
# TRAYECTORIAS DE PARTICULAS
# Formato: trayectoria,tiempo,id,x,y,vx,vy,masa,activa
trayectoria,0.44,3,478,406,-50,-100,0.8,1
trayectoria,0.45,0,245,300,100,0,1,1
trayectoria,0.45,1,555,300,-100,0,1,1
trayectoria,0.45,2,322.5,195,50,100,0.8,1
trayectoria,0.45,3,477.5,405,-50,-100,0.8,1
trayectoria,0.46,0,246,300,100,0,1,1
trayectoria,0.46,1,554,300,-100,0,1,1
trayectoria,0.46,2,323,196,50,100,0.8,1
trayectoria,0.46,3,477,404,-50,-100,0.8,1
trayectoria,0.47,0,247,300,100,0,1,1
trayectoria,0.47,1,553,300,-100,0,1,1
trayectoria,0.47,2,323.5,197,50,100,0.8,1
trayectoria,0.47,3,476.5,403,-50,-100,0.8,1
trayectoria,0.48,0,248,300,100,0,1,1
trayectoria,0.48,1,552,300,-100,0,1,1
trayectoria,0.48,2,324,198,50,100,0.8,1
trayectoria,0.48,3,476,402,-50,-100,0.8,1
trayectoria,0.49,0,249,300,100,0,1,1
trayectoria,0.49,1,551,300,-100,0,1,1
trayectoria,0.49,2,324.5,199,50,100,0.8,1
trayectoria,0.49,3,475.5,401,-50,-100,0.8,1
trayectoria,0.5,0,250,300,100,0,1,1
trayectoria,0.5,1,550,300,-100,0,1,1
trayectoria,0.5,2,325,200,50,100,0.8,1
trayectoria,0.5,3,475,400,-50,-100,0.8,1
trayectoria,0.51,0,251,300,100,0,1,1
trayectoria,0.51,1,549,300,-100,0,1,1
trayectoria,0.51,2,325.5,201,50,100,0.8,1
trayectoria,0.51,3,474.5,399,-50,-100,0.8,1
trayectoria,0.52,0,252,300,100,0,1,1
trayectoria,0.52,1,548,300,-100,0,1,1
trayectoria,0.52,2,326,202,50,100,0.8,1
trayectoria,0.52,3,474,398,-50,-100,0.8,1
trayectoria,0.53,0,253,300,100,0,1,1
trayectoria,0.53,1,547,300,-100,0,1,1
trayectoria,0.53,2,326.5,203,50,100,0.8,1
trayectoria,0.53,3,473.5,397,-50,-100,0.8,1
trayectoria,0.54,0,254,300,100,0,1,1
trayectoria,0.54,1,546,300,-100,0,1,1
trayectoria,0.54,2,327,204,50,100,0.8,1
trayectoria,0.54,3,473,396,-50,-100,0.8,1
trayectoria,0.55,0,255,300,100,0,1,1
trayectoria,0.55,1,545,300,-100,0,1,1
trayectoria,0.55,2,327.5,205,50,100,0.8,1
trayectoria,0.55,3,472.5,395,-50,-100,0.8,1
trayectoria,0.56,0,256,300,100,0,1,1
trayectoria,0.56,1,544,300,-100,0,1,1
trayectoria,0.56,2,328,206,50,100,0.8,1
trayectoria,0.56,3,472,394,-50,-100,0.8,1
trayectoria,0.57,0,257,300,100,0,1,1
trayectoria,0.57,1,543,300,-100,0,1,1
trayectoria,0.57,2,328.5,207,50,100,0.8,1
